iter	Passed	Remaining
0	1	146
1	2	144
2	4	133
3	5	123
4	6	122
5	7	120
6	8	118
7	10	116
8	11	115
9	12	113
10	13	112
11	15	112
12	16	111
13	17	110
14	19	109
15	20	108
16	22	108
17	23	108
18	25	108
19	27	109
20	29	110
21	31	111
22	33	111
23	35	111
24	37	111
25	38	110
26	40	110
27	42	110
28	44	109
29	46	109
30	48	108
31	50	107
32	52	106
33	54	105
34	56	104
35	58	103
36	59	101
37	61	100
38	63	99
39	65	97
40	66	96
41	67	93
42	69	91
43	70	90
44	72	88
45	74	87
46	75	85
47	77	83
48	79	82
49	80	80
50	82	79
51	84	77
52	85	76
53	87	74
54	88	72
55	90	71
56	92	69
57	93	67
58	95	66
59	97	64
60	98	63
61	100	61
62	102	59
63	103	58
64	105	56
65	107	55
66	109	53
67	110	52
68	112	50
69	114	49
70	116	47
71	118	45
72	119	44
73	121	42
74	123	41
75	125	39
76	127	37
77	128	36
78	130	34
79	132	33
80	134	31
81	136	29
82	138	28
83	140	26
84	142	25
85	144	23
86	146	21
87	147	20
88	149	18
89	151	16
90	154	15
91	155	13
92	157	11
93	159	10
94	161	8
95	162	6
96	164	5
97	166	3
98	167	1
99	169	0
