iter	Passed	Remaining
0	1	1763
1	3	1521
2	4	1450
3	5	1375
4	6	1381
5	8	1391
6	9	1360
7	10	1343
8	12	1324
9	13	1309
10	14	1292
11	15	1291
12	17	1295
13	18	1312
14	19	1310
15	21	1294
16	22	1291
17	23	1289
18	24	1285
19	26	1278
20	27	1271
21	28	1264
22	30	1285
23	31	1289
24	33	1287
25	34	1282
26	35	1274
27	36	1268
28	38	1272
29	39	1274
30	40	1274
31	42	1271
32	43	1273
33	44	1270
34	46	1268
35	47	1271
36	48	1274
37	50	1273
38	52	1282
39	53	1281
40	54	1278
41	55	1275
42	57	1273
43	58	1271
44	59	1268
45	61	1267
46	62	1265
47	63	1265
48	65	1264
49	66	1263
50	67	1263
51	69	1261
52	70	1260
53	71	1257
54	73	1257
55	74	1256
56	76	1258
57	77	1255
58	78	1255
59	79	1252
60	81	1251
61	82	1251
62	84	1249
63	85	1247
64	86	1244
65	87	1241
66	88	1239
67	90	1236
68	91	1232
69	92	1229
70	93	1227
71	94	1223
72	96	1221
73	97	1220
74	98	1219
75	100	1217
76	101	1215
77	102	1213
78	103	1211
79	105	1209
80	106	1206
81	107	1206
82	108	1198
83	109	1198
84	111	1195
85	112	1194
86	113	1193
87	114	1191
88	116	1190
89	117	1188
90	118	1187
91	120	1188
92	121	1186
93	122	1183
94	123	1180
95	125	1178
96	126	1176
97	127	1175
98	129	1174
99	130	1173
100	131	1171
101	132	1170
102	134	1168
103	135	1168
104	137	1168
105	138	1167
106	139	1165
107	141	1166
108	142	1165
109	143	1164
110	145	1162
111	146	1160
112	147	1158
113	148	1157
114	150	1156
115	151	1154
116	152	1151
117	153	1150
118	155	1148
119	156	1146
120	157	1145
121	158	1141
122	159	1139
123	161	1138
124	162	1135
125	163	1133
126	164	1131
127	165	1129
128	167	1130
129	168	1128
130	169	1126
131	171	1125
132	172	1123
133	173	1123
134	175	1121
135	176	1120
136	177	1119
137	178	1117
138	180	1119
139	181	1117
140	183	1116
141	184	1111
142	185	1110
143	186	1108
144	187	1107
145	189	1106
146	190	1104
147	191	1102
148	192	1101
149	194	1099
150	195	1098
151	196	1096
152	197	1095
153	199	1093
154	200	1091
155	201	1089
156	202	1088
157	203	1086
158	205	1085
159	206	1083
160	207	1080
161	208	1078
162	209	1077
163	210	1075
164	212	1074
165	213	1072
166	214	1070
167	215	1069
168	217	1067
169	218	1067
170	219	1065
171	221	1064
172	222	1062
173	223	1060
174	224	1059
175	225	1057
176	227	1056
177	228	1053
178	229	1052
179	230	1050
180	231	1049
181	233	1047
182	234	1046
183	235	1044
184	236	1043
185	237	1041
186	239	1040
187	240	1038
188	241	1037
189	243	1036
190	244	1034
191	245	1033
192	246	1032
193	248	1030
194	249	1028
195	250	1026
196	251	1025
197	252	1023
198	254	1022
199	255	1021
200	256	1020
201	257	1018
202	259	1018
203	260	1016
204	261	1015
205	262	1013
206	264	1012
207	265	1010
208	266	1009
209	267	1007
210	269	1007
211	270	1006
212	272	1005
213	273	1003
214	274	1002
215	275	1000
216	277	999
